Months,Single_Business_Permit,Cess,Advert_Fees,Market_fees,House_Stall,Buspark,Land_rates_and_plot_rents,Technical_planning_fees,Street_Parking,Slaughter_House_Fee
01/07/2017,908128,2750549,2667000,1158455,432418,1031700,623234,203600,578970,77000
01/08/2017,753856,1996700,2000,1623245,408690,1205270,617489,193020,505300,75600
01/09/2017,1548946,2061380,2000,1707264,825670,1296340,1402922,132100,757255,71400
01/10/2017,1108374,2336950,639658,1686430,314641,1293890,684218,32300,566370,73400
01/11/2017,1085411,4042490,322632,1804455,291715,1555025,893248,199000,891420,79600
01/12/2017,522326,4121110,435215,1825420,2585154,1615060,994449,410055,919870,72600
01/01/2018,6642109,5835150,1526158,2034075,830933,1856485,1511416,368830,1465838,76200
01/02/2018,14086827,5755450,1846859,1814955,441347,1359740,1222573,324660,2292340,74600
01/03/2018,26796292,6043670,2817402,1311465,502814,1187060,1773752,1765105,1797950,79000
01/04/2018,9460335,4400010,1524699,1463670,507129,1537480,1816062,541514,744000,69000
01/05/2018,9388607,5523640,6681645,1928725,1446698,1721365,3727426,379866,1314550,95600
01/06/2018,6976249,4498235,3949645,1693145,10293646,1469772,1408216,137300,868350,69800
01/07/2018,3021882,4389060,707740,1960060,523073,1739560,1608149,755760,963900,75800
01/08/2018,2285270,5442980,1009380,2363580,310258,1870760,1012924,366191,1087905,75800
01/09/2018,1547184,5513600,751395,2077435,970862,1412130,766306,300780,543615,68600
01/10/2018,1045928,6097750,191400,2319230,324842,1718540,1264716,6498944,638100,96400
01/11/2018,528207,5533765,637200,2146340,983186,1318390,975915,253530,669900,73600
01/12/2018,276870,4117385,294600,2042675,830362,1591060,362858,251980,690550,108200
01/01/2019,9718585,5143605,4390574,2282340,746936,1795210,1009174,369795,2314205,11400
01/02/2019,13057500,2418210,2343273,1751215,627089,1865190,1313089,894022,1645500,74000
01/03/2019,31649846,6304920,9192207,2424015,1464921,1773970,1511064,1543145,1086650,74200
01/04/2019,14572376,6476470,1217036,2392168,1443267,1720280,1376060,971376,875100,97000
01/05/2019,7740341,7046960,754382,8384134,681674,2060450,739418,574276,839250,79300
01/06/2019,3736379,6265145,674600,2178019,431603,1313660,2187755,611800,612550,66000
01/07/2019,4424315,7357534,642116,1990879,849486,1919640,2452382,796680,867200,93380
01/08/2019,4132779,8549380,651200,2525600,379614,1651700,444173,379630,899800,104200
01/09/2019,2815517,7344840,421900,2241585,262582,1466300,2008984,502235,853600,99200
01/10/2019,1794845,6824610,432330,2069060,508530,1549010,545696,289140,649320,41400
01/11/2019,885402,5658440,196365,1665820,553826,1273540,340502,269380,662400,57760
01/12/2019,410398,4654430,91860,1944750,227067,1162280,351388,235587,628100,131120
01/01/2020,10408464,3672890,1079165,2119135,917491,959730,1375005,539695,1142010,143800
01/02/2020,15313520,4686860,1102467,1704375,828317,1058850,1826978,785830,901710,132400
01/03/2020,20508148,5339840,2132112,1386315,578505,1369120,1802179,301625,1280120,78600
01/04/2020,5117003,4118200,643408,804790,597833,319728,604820,193430,803710,103800
01/05/2020,2962926,3541365,316800,1007840,275107,171960,221713,306945,587850,84400
01/06/2020,6997713,7304887,675309,1213153,454198,413500,380249,514304,665760,83400
01/07/2020,2840015,5114980,238936,1643645,399832,301680,532639,535215,842830,112500
01/08/2020,2908603,4440980,159800,1173090,528885.72,330570,730020,207010,770890,113200
01/09/2020,3597751,4193810,118750,1735930,405892,372502,779362,562280,760630,99700
01/10/2020,1141307,3415220,170366,918365,278253,201310,508673,254370,643830,99700
01/11/2020,1205211,2906160,132000,966380,188403,308160,617621,99965,697990,99100
01/12/2020,487418,2645380,120000,1054575,201952,277440,300311,119300,660670,106900
01/01/2021,8040790,5774570,855363,1514060,721690,392710,1001261,453680,1071470,103100
01/02/2021,9361241,6371160,612438,1534130,591952,371600,1049409,436180,833340,120800
01/03/2021,27252370,8511090,369700,1784175,663092,441600,496417,594445,840340,141000
01/04/2021,8431839,3776660,239000,3100,413029,237250,1030709,665160,652565,130099
01/05/2021,3526801,2870811,151000,1243820,392798,257400,720609,360745,548420,135000
01/06/2021,2468924,2806810,277389,944834,317043,251100,642556,329270,512800,125700
01/07/2021,4958841,3390700,87500,1780440,479933,259760,680736,541565,547520,144200
01/08/2021,2357693,2964930,84740,1388915,305459,761220,780437,280515,503900,127100
01/09/2021,2367794,5331930,52500,1553835,629596,948850,325771,330820,445200,126100
01/10/2021,1502655,2661960,109750,1316020,261195,868150,315549,158260,430800,128400
01/11/2021,1193889,4247970,178400,1358035,217840,725420,310850,262818,411150,121300
01/12/2021,771488,3722170,19700,1050775,225508,605300,228054,148250,307170,139600
01/01/2022,7537070,2831650,1073828,1514255,503904,1705060,458262,490970,878800,118600
01/02/2022,10190234,2564540,2818341,1046540,591763,1618640,683247,346085,924440,59000
01/03/2022,26917065,3831860,8892517,1377275,690437,536310,1562969,397760,843200,57600
01/04/2022,7336101,2580698,1651452,1004065,371676,598690,926050,263040,486690,95500
01/05/2022,5703193,3608180,1680796,1576885,1251192,1150730,1136350,684113,539350,111300
01/06/2022,2034426,1866690,647045,926270,4191579,665360,886815,247710,441390,142600
01/07/2022,1812919,1629110,193962,619200,173979,426600,527843,180430,249800,107200
01/08/2022,1699700,2279720,199135,1139930,452984,151760,210361,316830,367600,105600
01/09/2022,2068803.16,8050880,165800,2164125,1123050,389360,2018590,910374,822850,154600
01/10/2022,2078820,8787600,190400,2336030,986209,314430,2696828,1334762,733720,150800
01/11/2022,3944168,6952111,185050,1237211,669099,161780,1852380,1195005,718470,161800
01/12/2022,1054916,4745078,480920,1270000,494754,2398790,2019349,544102,761080,203600
01/01/2023,7941264,6329774,2495099,1451091,1017967,2436690,8108910,989297,2809580,172200
01/02/2023,17739715,8066040,9746259,1374006,1277512,2308220,2613464,1519891,3651590,145060
01/03/2023,47943586.8,10030435,17623128,1561079,899573,2268930,4917181,1443135,4118060,151300
01/04/2023,14972848,7395235,3395412,1406552,1030972,2095380,2849100,422315,1830837,140800
01/05/2023,15017948,6581795,1809924,1492777,590107,2037600,1708682,1208305,1570816,152700
01/06/2023,9549262,11083568,2332008,1567677,1000515,2285890,5069077,968190,1194576,138500
